,Steps,Number of cells,Number of cells in RedZone,RedZone cells ratio,MaxCellID,Cumulative Dead Cells,Cumulative Senescent cells,Persistence,Speed(um/h),Cumulative time in RedZone,Uniformity Index,Total Number of RedZone Visitors,Cumulative Metastatic cells ,Average speed of all cells,Cumulative G1B cells,L5S Immotile Cells,L5S Dividing Cells
1,1,1,0,0,1,0,0,0.25,15,0,0,NA,0,NA,NA,NA,NA
2,25,1,0,0,1,0,0,0.25,15,0,0,NA,0,NA,NA,NA,NA
3,49,1,0,0,1,0,0,0.25,15,0,0,NA,0,NA,NA,NA,NA
4,73,1,0,0,1,0,0,0.25,15,0,0,NA,0,NA,NA,NA,NA
5,97,1,0,0,1,0,0,0.25,15,0,0,NA,0,NA,NA,NA,NA
6,121,1,1,1,1,0,0,0.25,15,1,0,NA,0,NA,NA,NA,NA
7,145,2,2,1,3,0,0,0.25,15,44,0,NA,0,NA,NA,NA,NA
8,169,2,1,0.5,3,0,0,0.25,15,86,0,NA,0,NA,NA,NA,NA
9,193,2,1,0.5,3,0,0,0.25,15,110,0,NA,0,NA,NA,NA,NA
10,217,2,1,0.5,3,0,0,0.25,15,134,0,NA,0,NA,NA,NA,NA
11,241,3,2,0.67,5,0,0,0.25,15,172,0,NA,0,NA,NA,NA,NA
12,265,3,2,0.67,5,0,0,0.25,15,219,0,NA,0,NA,NA,NA,NA
13,289,4,1,0.25,7,0,0,0.25,15,243,0,NA,0,NA,NA,NA,NA
14,313,4,1,0.25,7,0,0,0.25,15,268,0,NA,0,NA,NA,NA,NA
15,337,5,2,0.4,9,0,0,0.25,15,296,0,NA,0,NA,NA,NA,NA
16,361,5,0,0,9,0,0,0.25,15,315,0,NA,0,NA,NA,NA,NA
17,385,6,0,0,11,0,0,0.25,15,315,0,NA,0,NA,NA,NA,NA
18,409,6,0,0,11,0,0,0.25,15,315,0,NA,0,NA,NA,NA,NA
19,433,8,0,0,15,0,0,0.25,15,315,0,NA,0,NA,NA,NA,NA
20,457,8,1,0.12,15,0,0,0.25,15,324,0,NA,0,NA,NA,NA,NA
21,481,8,1,0.12,15,0,0,0.25,15,361,0,NA,0,NA,NA,NA,NA
22,505,11,2,0.18,21,0,0,0.25,15,400,0,NA,0,NA,NA,NA,NA
23,529,12,4,0.33,23,0,0,0.25,15,467,0,NA,0,NA,NA,NA,NA
24,553,14,3,0.21,27,0,0,0.25,15,563,0,NA,0,NA,NA,NA,NA
25,577,14,3,0.21,27,0,0,0.25,15,655,0,NA,0,NA,NA,NA,NA
26,601,16,2,0.12,33,0,0,0.25,15,734,0,NA,1,NA,NA,NA,NA
27,625,16,2,0.12,33,0,0,0.25,15,795,0,NA,1,NA,NA,NA,NA
28,649,24,3,0.12,49,0,0,0.25,15,864,0,NA,1,NA,NA,NA,NA
29,673,24,5,0.21,49,0,0,0.25,15,955,0,NA,1,NA,NA,NA,NA
30,697,25,3,0.12,51,0,0,0.25,15,1056,0,NA,1,NA,NA,NA,NA
31,721,28,6,0.21,57,0,0,0.25,15,1159,0,NA,1,NA,NA,NA,NA
32,745,34,11,0.32,69,0,0,0.25,15,1364,0,NA,1,NA,NA,NA,NA
