"","Steps","Number.of.cells","Number.of.cells.in.RedZone","RedZone.cells.ratio","MaxCellID","Cumulative.Dead.Cells","Cumulative.Senescent.cells","Persistence","Speed.um.h.","Cumulative.time.in.RedZone","Uniformity.Index","Total.Number.of.RedZone.Visitors","Cumulative.Metastatic.cells.","Average.speed.of.all.cells","Cumulative.G1B.cells","L5S.Immotile.Cells","L5S.Dividing.Cells"
"1",1681,2688,290,0.11,5387,0,61,0.25,5,115802,0,NA,6,NA,NA,NA,NA
"2",1921,4296,307,0.07,9229,300,1110,0.25,5,192506,0,NA,19,NA,NA,NA,NA
"3",2160,5531,336,0.06,14207,1549,2577,0.25,5,269322,0,2388,24,7.717,952,1557,167
"4",1681,1936,180,0.09,3881,0,7,0.25,5,51225,0,NA,5,NA,NA,NA,NA
"5",1921,3522,352,0.1,7297,115,618,0.25,5,116331,0,NA,12,NA,NA,NA,NA
"6",2160,4759,463,0.1,11657,1050,1964,0.25,5,215082,0,2170,20,7.787,443,0,1
"7",1681,1710,173,0.1,3425,0,0,0.25,5,48691,0,NA,3,NA,NA,NA,NA
"8",1921,3271,261,0.08,6677,58,491,0.25,5,100874,0,NA,10,NA,NA,NA,NA
"9",2160,4599,352,0.08,10857,819,1606,0.25,5,174098,0,1726,11,7.843,331,259,140
"10",1681,1982,201,0.1,3973,0,13,0.25,5,52004,0,NA,5,NA,NA,NA,NA
"11",1921,3487,272,0.08,7245,124,680,0.25,5,109571,0,NA,12,NA,NA,NA,NA
"12",2160,4658,291,0.06,11435,1042,1859,0.25,5,178413,0,1603,18,7.795,300,0,1
"13",1681,3207,201,0.06,6519,44,401,0.25,5,100405,0,NA,9,NA,NA,NA,NA
"14",1921,4501,250,0.06,10625,800,1617,0.25,5,148001,0,NA,12,NA,NA,NA,NA
"15",2160,5814,465,0.08,15781,2054,3165,0.25,5,236683,0,2396,23,7.75,449,0,1
"16",1681,2528,209,0.08,5067,0,66,0.25,5,70674,0,NA,6,NA,NA,NA,NA
"17",1921,4152,257,0.06,8913,290,1039,0.25,5,130779,0,NA,15,NA,NA,NA,NA
"18",2160,5335,331,0.06,13763,1528,2545,0.25,5,198928,0,1806,19,7.779,528,4097,280
"19",1681,3177,106,0.03,6869,253,702,0.25,5,79634,0,NA,5,NA,NA,NA,NA
"20",1921,4550,340,0.07,11211,1041,1780,0.25,5,131312,0,NA,15,NA,NA,NA,NA
"21",2160,5934,519,0.09,16327,2204,3377,0.25,5,233016,0,2381,26,7.731,468,0,1
"22",1681,2170,199,0.09,4357,0,111,0.25,5,84792,0,NA,9,NA,NA,NA,NA
"23",1921,3701,266,0.07,8031,304,818,0.25,5,140436,0,NA,11,NA,NA,NA,NA
"24",2160,5062,389,0.08,12495,1167,2077,0.25,5,218866,0,2193,19,7.804,612,0,1
"25",1681,2444,159,0.07,4907,0,153,0.25,5,88838,0,NA,10,NA,NA,NA,NA
"26",1921,3873,178,0.05,8577,404,1031,0.25,5,127762,0,NA,12,NA,NA,NA,NA
"27",2160,5124,296,0.06,13153,1437,2316,0.25,5,181589,0,1836,16,7.76,480,2909,198
"28",1681,3555,234,0.07,7811,341,861,0.25,5,99521,0,NA,10,NA,NA,NA,NA
"29",1921,4721,339,0.07,11933,1227,2056,0.25,5,170704,0,NA,19,NA,NA,NA,NA
"30",2160,6052,455,0.08,17513,2676,3776,0.25,5,267821,0,2383,29,7.716,816,0,1
"31",1681,3085,248,0.08,6419,114,518,0.25,5,110532,0,NA,11,NA,NA,NA,NA
"32",1921,4294,237,0.06,10297,838,1592,0.25,5,166699,0,NA,17,NA,NA,NA,NA
"33",2160,5564,408,0.07,15271,2048,3034,0.25,5,238800,0,2169,24,7.689,421,0,1
"34",1681,2851,282,0.1,5797,37,279,0.25,5,115241,0,NA,11,NA,NA,NA,NA
"35",1921,4189,345,0.08,9591,586,1345,0.25,5,188388,0,NA,21,NA,NA,NA,NA
"36",2160,5361,424,0.08,14429,1823,2797,0.25,5,280148,0,2509,31,7.759,573,0,1
"37",1681,1861,186,0.1,3725,0,0,0.25,5,34385,0,NA,2,NA,NA,NA,NA
"38",1921,3570,354,0.1,7279,62,622,0.25,5,98976,0,NA,8,NA,NA,NA,NA
"39",2160,4678,372,0.08,11309,959,1773,0.25,5,190790,0,1762,18,7.72,394,0,1
"40",1681,1871,114,0.06,3751,0,0,0.25,5,34427,0,NA,5,NA,NA,NA,NA
"41",1921,3467,258,0.07,7027,40,515,0.25,5,76816,0,NA,7,NA,NA,NA,NA
"42",2160,4801,371,0.08,11435,905,1749,0.25,5,149358,0,1625,12,7.815,510,0,1
"43",1681,2003,229,0.11,4017,0,36,0.25,5,65092,0,NA,6,NA,NA,NA,NA
"44",1921,3647,343,0.09,7581,133,630,0.25,5,137135,0,NA,11,NA,NA,NA,NA
"45",2160,4997,407,0.08,12083,1022,1955,0.25,5,226892,0,2151,23,7.822,630,0,1
"46",1681,3735,332,0.09,7701,101,579,0.35,5,127023,0,NA,15,NA,NA,NA,NA
"47",1921,5225,387,0.07,12411,962,1933,0.35,5,217396,0,NA,19,NA,NA,NA,NA
"48",2160,6557,497,0.08,18217,2531,3742,0.35,5,322471,0,2758,21,7.644,905,0,1
"49",1681,3260,238,0.07,6545,2,198,0.35,5,90702,0,NA,11,NA,NA,NA,NA
"50",1921,4991,323,0.06,11091,537,1412,0.35,5,156490,0,NA,18,NA,NA,NA,NA
"51",2160,6368,426,0.07,16711,1959,3199,0.35,5,250012,0,2512,29,7.703,575,4410,168
"52",1681,1856,191,0.1,3725,0,0,0.35,5,49583,0,NA,7,NA,NA,NA,NA
"53",1921,3701,311,0.08,7447,7,436,0.35,5,107814,0,NA,16,NA,NA,NA,NA
"54",2160,5143,429,0.08,12057,868,1773,0.35,5,193713,0,2052,18,7.76,548,0,1
"55",1681,1925,177,0.09,3857,0,0,0.35,5,40176,0,NA,4,NA,NA,NA,NA
"56",1921,3831,279,0.07,7689,4,323,0.35,5,92621,0,NA,10,NA,NA,NA,NA
"57",2160,5560,446,0.08,12753,801,1868,0.35,5,179654,0,2055,16,7.775,593,0,1
"58",1681,1963,165,0.08,3943,0,0,0.35,5,59238,0,NA,9,NA,NA,NA,NA
"59",1921,3659,284,0.08,7433,48,597,0.35,5,108636,0,NA,10,NA,NA,NA,NA
"60",2160,5094,435,0.09,12175,974,1830,0.35,5,194481,0,2212,20,7.714,639,0,1
"61",1681,3205,324,0.1,6475,22,338,0.35,5,120875,0,NA,11,NA,NA,NA,NA
"62",1921,4777,434,0.09,10919,661,1462,0.35,5,210706,0,NA,22,NA,NA,NA,NA
"63",2160,6138,489,0.08,16395,2028,3094,0.35,5,319990,0,2906,32,7.684,866,0,1
"64",1681,2575,194,0.08,5165,0,63,0.35,5,82739,0,NA,8,NA,NA,NA,NA
"65",1921,4496,267,0.06,9469,229,886,0.35,5,138970,0,NA,10,NA,NA,NA,NA
"66",2160,6095,396,0.06,14909,1349,2452,0.35,5,211007,0,2297,11,7.739,630,4644,302
"67",1681,2772,240,0.09,5559,0,71,0.35,5,98613,0,NA,8,NA,NA,NA,NA
"68",1921,4622,381,0.08,10071,404,1146,0.35,5,175224,0,NA,10,NA,NA,NA,NA
"69",2160,6018,475,0.08,15241,1579,2736,0.35,5,280196,0,2804,24,7.679,679,0,1
"70",1681,1993,157,0.08,3989,0,0,0.35,5,54777,0,NA,2,NA,NA,NA,NA
"71",1921,3981,215,0.05,8011,18,450,0.35,5,101927,0,NA,7,NA,NA,NA,NA
"72",2160,5597,278,0.05,13001,893,1930,0.35,5,155129,0,1539,11,7.741,431,0,1
"73",1681,2165,176,0.08,4343,0,0,0.35,5,61144,0,NA,7,NA,NA,NA,NA
"74",1921,4107,331,0.08,8285,22,632,0.35,5,117598,0,NA,14,NA,NA,NA,NA
"75",2160,5394,368,0.07,13033,1102,2117,0.35,5,205429,0,2162,21,7.737,496,549,166
"76",1681,1740,103,0.06,3481,0,0,0.35,5,22460,0,NA,1,NA,NA,NA,NA
"77",1921,3785,192,0.05,7593,8,321,0.35,5,55494,0,NA,4,NA,NA,NA,NA
"78",2160,5567,308,0.06,12475,659,1664,0.35,5,116118,0,1314,12,7.808,230,0,1
"79",1681,2641,205,0.08,5299,0,4,0.35,5,81133,0,NA,9,NA,NA,NA,NA
"80",1921,4534,304,0.07,9489,195,946,0.35,5,144530,0,NA,16,NA,NA,NA,NA
"81",2160,5858,352,0.06,14613,1428,2596,0.35,5,215572,0,2146,21,7.703,929,4554,208
"82",1681,2592,200,0.08,5197,0,73,0.35,5,76221,0,NA,7,NA,NA,NA,NA
"83",1921,4418,270,0.06,9439,292,936,0.35,5,132769,0,NA,10,NA,NA,NA,NA
"84",2160,5934,334,0.06,14811,1453,2572,0.35,5,202890,0,1981,19,7.686,532,0,1
"85",1681,3119,186,0.06,6461,105,459,0.35,5,101024,0,NA,7,NA,NA,NA,NA
"86",1921,4677,322,0.07,10913,767,1540,0.35,5,157727,0,NA,13,NA,NA,NA,NA
"87",2160,6082,369,0.06,16163,1980,3115,0.35,5,241792,0,2254,20,7.667,833,4725,140
"88",1681,2490,211,0.08,4995,0,73,0.35,5,82196,0,NA,8,NA,NA,NA,NA
"89",1921,4193,412,0.1,9007,296,961,0.35,5,158672,0,NA,15,NA,NA,NA,NA
"90",2160,5571,507,0.09,13999,1405,2456,0.35,5,269844,0,2714,24,7.652,641,0,1
"91",1681,2134,198,0.09,4271,0,0,0.45,5,36759,0,NA,2,NA,NA,NA,NA
"92",1921,4452,365,0.08,8921,0,153,0.45,5,105258,0,NA,9,NA,NA,NA,NA
"93",2160,6665,557,0.08,14921,770,2110,0.45,5,222359,0,2561,26,7.779,555,0,1
"94",1681,3560,403,0.11,7235,50,409,0.45,5,117981,0,NA,8,NA,NA,NA,NA
"95",1921,5175,524,0.1,11825,718,1661,0.45,5,227935,0,NA,20,NA,NA,NA,NA
"96",2160,6534,521,0.08,17741,2299,3475,0.45,5,358752,0,3140,38,7.592,988,0,1
"97",1681,2681,244,0.09,5375,0,83,0.45,5,80167,0,NA,7,NA,NA,NA,NA
"98",1921,4584,378,0.08,9775,288,948,0.45,5,157821,0,NA,16,NA,NA,NA,NA
"99",2160,6053,428,0.07,15085,1465,2612,0.45,5,252160,0,2461,25,7.639,763,0,1
"100",1681,2118,209,0.1,4247,0,0,0.45,5,58160,0,NA,6,NA,NA,NA,NA
"101",1921,4222,315,0.07,8505,18,477,0.45,5,122776,0,NA,13,NA,NA,NA,NA
"102",2160,5950,314,0.05,13859,959,2030,0.45,5,197416,0,1966,21,7.734,279,0,1
"103",1681,2905,204,0.07,5825,1,150,0.45,5,69180,0,NA,7,NA,NA,NA,NA
"104",1921,4796,320,0.07,10349,359,1079,0.45,5,136981,0,NA,20,NA,NA,NA,NA
"105",2160,6455,430,0.07,16235,1634,2863,0.45,5,226068,0,2328,29,7.625,614,0,1
"106",1681,2811,243,0.09,5629,0,90,0.45,5,74432,0,NA,4,NA,NA,NA,NA
"107",1921,4838,310,0.06,10231,268,955,0.45,5,144291,0,NA,10,NA,NA,NA,NA
"108",2160,6670,492,0.07,16379,1503,2684,0.45,5,237660,0,2522,17,7.702,662,0,1
"109",1681,2275,237,0.1,4563,0,1,0.45,5,73390,0,NA,7,NA,NA,NA,NA
"110",1921,4504,329,0.07,9093,30,500,0.45,5,142935,0,NA,13,NA,NA,NA,NA
"111",2160,6376,433,0.07,14867,1039,2248,0.45,5,225606,0,2415,19,7.722,569,0,1
"112",1681,1746,183,0.1,3499,0,0,0.45,5,36903,0,NA,4,NA,NA,NA,NA
"113",1921,3792,339,0.09,7603,0,259,0.45,5,98903,0,NA,10,NA,NA,NA,NA
"114",2160,5607,409,0.07,12585,669,1677,0.45,5,192078,0,2044,17,7.746,394,2625,339
"115",1681,2934,187,0.06,5887,0,81,0.45,5,78937,0,NA,10,NA,NA,NA,NA
"116",1921,5061,298,0.06,10799,325,1094,0.45,5,134093,0,NA,14,NA,NA,NA,NA
"117",2160,7000,562,0.08,17171,1562,2827,0.45,5,234249,0,2798,24,7.724,767,5284,188
"118",1681,3017,239,0.08,6049,0,31,0.45,5,79675,0,NA,8,NA,NA,NA,NA
"119",1921,5131,309,0.06,10715,212,1101,0.45,5,149943,0,NA,15,NA,NA,NA,NA
"120",2160,6658,557,0.08,16771,1706,2925,0.45,5,248893,0,2758,22,7.613,459,0,1
"121",1681,3056,360,0.12,6139,1,113,0.45,5,100260,0,NA,13,NA,NA,NA,NA
"122",1921,4952,424,0.09,10621,337,1127,0.45,5,200170,0,NA,22,NA,NA,NA,NA
"123",2160,6486,531,0.08,16611,1782,2931,0.45,5,316704,0,2966,38,7.648,915,0,1
"124",1681,1984,126,0.06,3975,0,0,0.45,5,34005,0,NA,4,NA,NA,NA,NA
"125",1921,4119,277,0.07,8251,0,321,0.45,5,80530,0,NA,7,NA,NA,NA,NA
"126",2160,6097,340,0.06,13743,758,1874,0.45,5,154930,0,1828,17,7.726,455,0,1
"127",1681,2726,329,0.12,5473,0,0,0.45,5,106386,0,NA,11,NA,NA,NA,NA
"128",1921,5065,458,0.09,10217,29,778,0.45,5,197696,0,NA,15,NA,NA,NA,NA
"129",2160,6557,445,0.07,15965,1408,2567,0.45,5,313764,0,3152,18,7.678,625,1616,137
"130",1681,1942,190,0.1,3885,0,0,0.45,5,41231,0,NA,1,NA,NA,NA,NA
"131",1921,4198,383,0.09,8415,0,265,0.45,5,110516,0,NA,10,NA,NA,NA,NA
"132",2160,6191,487,0.08,13887,726,1898,0.45,5,213096,0,2422,27,7.759,530,2513,266
"133",1681,2669,309,0.12,5349,0,0,0.45,5,87591,0,NA,6,NA,NA,NA,NA
"134",1921,5079,478,0.09,10191,0,412,0.45,5,181777,0,NA,17,NA,NA,NA,NA
"135",2160,6754,511,0.08,16035,1234,2611,0.45,5,307791,0,3183,30,7.703,747,0,1
"136",1681,3012,254,0.08,6051,0,0,0.55,5,95321,0,NA,14,NA,NA,NA,NA
"137",1921,5555,430,0.08,11323,85,930,0.55,5,174370,0,NA,22,NA,NA,NA,NA
"138",2160,7385,451,0.06,17895,1527,2870,0.55,5,284030,0,3147,36,7.623,758,2910,201
"139",1681,2163,236,0.11,4339,0,0,0.55,5,65465,0,NA,7,NA,NA,NA,NA
"140",1921,4547,311,0.07,9153,10,372,0.55,5,129928,0,NA,20,NA,NA,NA,NA
"141",2160,6857,414,0.06,15401,817,2006,0.55,5,213136,0,2433,27,7.703,558,5000,367
"142",1681,2856,162,0.06,5727,0,21,0.55,5,65612,0,NA,8,NA,NA,NA,NA
"143",1921,5423,268,0.05,11165,146,781,0.55,5,119775,0,NA,14,NA,NA,NA,NA
"144",2160,7567,445,0.06,17893,1357,2774,0.55,5,202589,0,2464,23,7.63,698,0,1
"145",1681,3341,362,0.11,6709,0,110,0.55,5,118776,0,NA,14,NA,NA,NA,NA
"146",1921,5569,488,0.09,11929,370,1369,0.55,5,220632,0,NA,26,NA,NA,NA,NA
"147",2160,7209,636,0.09,18285,1899,3202,0.55,5,354481,0,3723,35,7.549,796,0,1
"148",1681,2316,290,0.13,4647,0,0,0.55,5,77702,0,NA,8,NA,NA,NA,NA
"149",1921,4700,479,0.1,9441,3,438,0.55,5,167356,0,NA,18,NA,NA,NA,NA
"150",2160,6889,606,0.09,15771,967,2212,0.55,5,299859,0,3455,30,7.627,904,0,1
"151",1681,2413,191,0.08,4835,0,0,0.55,5,69867,0,NA,5,NA,NA,NA,NA
"152",1921,4786,260,0.05,9653,30,535,0.55,5,125583,0,NA,11,NA,NA,NA,NA
"153",2160,6949,420,0.06,16153,1110,2251,0.55,5,201730,0,2351,18,7.624,599,0,1
"154",1681,2003,168,0.08,4019,0,0,0.55,5,39829,0,NA,7,NA,NA,NA,NA
"155",1921,4279,236,0.06,8577,0,192,0.55,5,90391,0,NA,10,NA,NA,NA,NA
"156",2160,6590,359,0.05,14613,698,1902,0.55,5,158844,0,1781,19,7.696,650,0,1
"157",1681,3796,275,0.07,7641,17,328,0.55,5,97060,0,NA,8,NA,NA,NA,NA
"158",1921,5834,423,0.07,13111,704,1658,0.55,5,179695,0,NA,18,NA,NA,NA,NA
"159",2160,7667,616,0.08,19929,2269,3736,0.55,5,304974,0,3280,29,7.558,890,5796,193
"160",1681,3911,213,0.05,7927,44,417,0.55,5,94874,0,NA,9,NA,NA,NA,NA
"161",1921,5984,447,0.07,13579,789,1697,0.55,5,166152,0,NA,17,NA,NA,NA,NA
"162",2160,7984,669,0.08,20651,2311,3839,0.55,5,302526,0,3575,31,7.539,582,6043,230
"163",1681,2258,182,0.08,4521,0,0,0.55,5,37571,0,NA,3,NA,NA,NA,NA
"164",1921,4549,358,0.08,9115,0,301,0.55,5,101023,0,NA,9,NA,NA,NA,NA
"165",2160,6873,603,0.09,15597,908,2143,0.55,5,213402,0,2723,18,7.642,607,4315,228
"166",1681,2379,250,0.11,4767,0,2,0.55,5,64266,0,NA,5,NA,NA,NA,NA
"167",1921,4681,376,0.08,9483,46,585,0.55,5,140829,0,NA,15,NA,NA,NA,NA
"168",2160,6572,429,0.07,15371,1093,2303,0.55,5,234838,0,2419,21,7.583,777,4756,364
"169",1681,4071,396,0.1,8293,59,573,0.55,5,141596,0,NA,17,NA,NA,NA,NA
"170",1921,5913,539,0.09,13805,968,1947,0.55,5,248108,0,NA,22,NA,NA,NA,NA
"171",2160,7852,663,0.08,20917,2574,3963,0.55,5,397999,0,4078,33,7.547,1023,0,1
"172",1681,4128,444,0.11,8313,15,346,0.55,5,148469,0,NA,14,NA,NA,NA,NA
