Steps,Number of cells,Number of cells in RedZone,RedZone cells ratio,MaxCellID,Cumulative Dead Cells,Cumulative Senescent cells,Cumulative time in RedZone,Uniformity Index,Total Number of RedZone Visitors,Cumulative Metastatic cells ,Average speed of all cells,Cumulative G1B cells,L5S Immotile Cells,L5S Dividing Cells,Fragmentation %,Intravassation Rate
2160,29049,2219,0.08,58433,0,0,595287,80,30729,168,27.531,86,1657,1309,14,0.1
2160,37341,2483,0.07,75303,0,0,821030,92,37181,311,22.798,2099,22351,1117,14,0.1
2160,34260,2471,0.07,68933,0,0,723217,85,35314,207,25.561,555,10601,1703,14,0.1
2160,32671,2351,0.07,65723,0,0,709713,80,33976,191,25.143,826,9949,1614,14,0.1
2160,35727,2495,0.07,71925,0,0,770928,87,36382,236,24.355,969,15690,1447,14,0.1
2160,37113,2533,0.07,74747,0,0,822433,91,37190,261,23.338,1376,17467,927,14,0.1
2160,38091,2538,0.07,76729,0,1,831751,93,36925,274,22.232,2015,25700,911,14,0.1
2160,34033,2416,0.07,68507,0,0,715240,85,35305,221,25.838,319,10265,1993,14,0.1
2160,35973,2506,0.07,72395,0,0,768035,87,35646,225,23.885,833,16514,1471,14,0.1
2160,32370,2334,0.07,65127,0,0,670800,82,33073,194,26.147,316,7318,1697,14,0.1
2160,34317,2393,0.07,69101,0,0,717043,85,34660,234,25.264,497,11250,1689,14,0.1
2160,39241,2547,0.06,79103,0,7,917386,98,38562,311,20.963,2347,32765,524,14,0.1
2160,38541,2543,0.07,77673,0,5,876360,95,37704,296,21.871,2227,27818,719,14,0.1
2160,39194,2556,0.07,79001,0,0,915145,98,38493,307,21.45,2964,32135,472,14,0.1
2160,35189,2432,0.07,70855,0,0,757278,86,35562,239,24.072,821,14053,1573,14,0.1
2160,34074,2415,0.07,68567,0,0,700213,85,34097,210,25.368,425,10949,1667,14,0.1
2160,38879,2566,0.07,78299,0,0,868516,97,38061,271,22.328,1663,29677,658,14,0.1
2160,35333,2472,0.07,71175,0,0,785157,86,36353,255,24.421,1053,14876,1379,14,0.1
2160,34348,2472,0.07,69157,0,0,732315,86,35443,231,25.599,294,10497,1531,14,0.1
2160,37505,2509,0.07,75579,0,5,848420,92,36919,285,22.043,2200,21355,900,14,0.1
2160,34885,2428,0.07,70255,0,0,747735,86,35628,243,24.594,665,13641,1490,14,0.1
2160,35003,2475,0.07,70507,0,0,754553,87,35725,251,25.326,617,10383,1622,14,0.1
2160,37761,2525,0.07,76059,0,0,817193,93,36438,269,23.071,1379,20429,1014,14,0.1
2160,34372,2445,0.07,69153,0,0,711799,85,34131,205,24.808,605,12240,1572,14,0.1
2160,34581,2425,0.07,69607,0,0,738416,87,35715,223,25.842,524,9593,1596,14,0.1
2160,34576,2477,0.07,69555,0,0,751694,85,33578,202,22.938,1028,13571,1542,65,0.1
2160,35698,2533,0.07,71825,0,0,755314,89,34940,215,24.156,461,10515,1220,65,0.1
2160,33712,2382,0.07,67855,0,0,733020,81,32293,216,22.072,1230,13716,1555,65,0.1
2160,32406,2414,0.07,65209,0,0,716175,81,33032,199,24.175,486,8436,1684,65,0.1
2160,28243,2186,0.08,56803,0,0,598521,70,28068,159,24.338,361,5863,1717,65,0.1
2160,32680,2388,0.07,65739,0,0,726707,79,32153,190,22.805,1250,11522,1573,65,0.1
2160,32607,2386,0.07,65617,0,0,711434,78,31299,202,22.296,1302,12467,1559,65,0.1
2160,30075,2233,0.07,60477,0,0,629681,73,28769,164,23.096,926,8916,1389,65,0.1
2160,30562,2249,0.07,61449,0,0,631977,76,29243,163,24.067,407,4368,1067,65,0.1
2160,37731,2551,0.07,75967,0,15,840193,92,34626,253,20.273,1940,26189,853,65,0.1
2160,34893,2473,0.07,70255,0,0,783941,85,33821,235,22.263,1503,15638,1375,65,0.1
2160,32560,2344,0.07,65555,0,0,716570,78,31615,218,22.4,1174,10734,1508,65,0.1
2160,33499,2426,0.07,67427,0,0,739234,81,32061,215,22.22,1373,8732,1089,65,0.1
2160,39299,2417,0.06,79505,0,72,941629,99,36000,454,18.726,2906,32881,333,65,0.1
2160,32222,2372,0.07,64887,0,0,705065,78,31423,222,22.999,764,10484,1605,65,0.1
2160,26154,2133,0.08,52605,0,0,570641,66,26845,149,24.578,471,4595,1447,65,0.1
2160,34700,2451,0.07,69819,0,0,751477,84,32443,210,22.322,1321,13402,1546,65,0.1
2160,37562,2531,0.07,75637,0,0,848389,93,34812,257,20.437,2440,23902,926,65,0.1
2160,32930,2389,0.07,66277,0,0,691901,81,31656,209,23.568,558,8110,1070,65,0.1
